523971	9471278	24M	1	ANFÍBIO
524212	9471493	24M	1	ANFÍBIO
525899	9472925	24M	1	ANFÍBIO
526828	9473721	24M	1	ANFÍBIO
503132	9455133	24M	1	ANFÍBIO
505485	9456838	24M	1	ANFÍBIO
507597	9458248	24M	1	ANFÍBIO
520068	9467959	24M	1	ANFÍBIO
526315	9473275	24M	1	ANFÍBIO
530027	9476640	24M	1	ANFÍBIO
502208	9454349	24M	1	ANFÍBIO
502224	9454360	24M	1	ANFÍBIO
509206	9459319	24M	1	ANFÍBIO
520632	9468442	24M	1	ANFÍBIO
522508	9470036	24M	1	ANFÍBIO
522490	9470031	24M	1	ANFÍBIO
527131	9473980	24M	1	ANFÍBIO
527132	9473978	24M	1	ANFÍBIO
528663	9475113	24M	1	ANFÍBIO
530624	9477333	24M	1	ANFÍBIO
504118	9455921	24M	1	ANFÍBIO
504110	9455914	24M	1	ANFÍBIO
504192	9455968	24M	1	ANFÍBIO
504964	9456488	24M	1	ANFÍBIO
505345	9456739	24M	1	ANFÍBIO
505941	9457144	24M	1	ANFÍBIO
508437	9458814	24M	1	ANFÍBIO
508472	9458829	24M	1	ANFÍBIO
508920	9459136	24M	1	ANFÍBIO
508937	9459137	24M	1	ANFÍBIO
509386	9459437	24M	1	ANFÍBIO
509391	9459450	24M	1	ANFÍBIO
515415	9464017	24M	1	ANFÍBIO
516898	9465277	24M	1	ANFÍBIO
517290	9465601	24M	1	ANFÍBIO
523788	9471125	24M	1	ANFÍBIO
527955	9474600	24M	1	ANFÍBIO
528361	9474875	24M	1	ANFÍBIO
528360	9474884	24M	1	ANFÍBIO
528364	9474885	24M	1	ANFÍBIO
501801	9453993	24M	1	ANFÍBIO
503672	9455580	24M	1	ANFÍBIO
506895	9457780	24M	1	ANFÍBIO
507771	9458362	24M	1	ANFÍBIO
507953	9458481	24M	1	ANFÍBIO
508743	9459018	24M	1	ANFÍBIO
510093	9459916	24M	1	ANFÍBIO
510277	9460033	24M	1	ANFÍBIO
519543	9467517	24M	1	ANFÍBIO
520242	9468116	24M	1	ANFÍBIO
520927	9468696	24M	1	ANFÍBIO
520972	9468727	24M	1	ANFÍBIO
528428	9474920	24M	1	ANFÍBIO
528424	9474927	24M	1	ANFÍBIO
502087	9454244	24M	1	ANFÍBIO
502210	9454341	24M	1	ANFÍBIO
503203	9455189	24M	1	ANFÍBIO
505762	9457022	24M	1	ANFÍBIO
509302	9459379	24M	1	ANFÍBIO
514639	9463358	24M	1	ANFÍBIO
520727	9468524	24M	1	ANFÍBIO
528307	9474843	24M	1	ANFÍBIO
528382	9474898	24M	1	ANFÍBIO
528476	9474958	24M	1	ANFÍBIO
507484	9458176	24M	1	ANFÍBIO
507517	9458197	24M	1	ANFÍBIO
507517	9458198	24M	1	ANFÍBIO
